ticker,start_date_actual,start_price,end_date_actual,end_price,raw_return,normal_return_spy,excess_return,cluster,CAR,MaxDrawdown,Volatility,label
ESE,2025-01-27,130.8604,2025-02-10,162.338,0.24054335765441648,0.009142900901601747,0.23140045675281473,1,0.2313745119227948,-0.01934763987196264,0.059935957871579584,Vulnerable
ESTC,2025-01-27,104.92,2025-02-10,116.39,0.10932138772398026,0.009142900901601747,0.10017848682237851,1,0.12259394380898403,-0.056716417910448014,0.04128770778539384,Vulnerable
EVCM,2025-01-27,10.39,2025-02-10,10.93,0.05197305101058691,0.009142900901601747,0.042830150108985166,1,0.06402198491968547,-0.05313092979127121,0.02289207981921808,Vulnerable
EVER,2025-01-27,20.89,2025-02-10,21.52,0.030157970320727534,0.009142900901601747,0.021015069419125787,1,0.2277496393306696,-0.038295835327908034,0.06317679916524842,Vulnerable
EVLV,2025-01-27,4.01,2025-02-10,3.99,-0.004987531172069737,0.009142900901601747,-0.014130432073671484,1,-0.03279156713303877,-0.05896226415094341,0.02860185221603874,Vulnerable
EVTC,2025-01-27,32.6264,2025-02-10,33.1931,0.017369369590270578,0.009142900901601747,0.008226468688668831,1,0.03576425758534574,-0.019499546379618926,0.009722200874381439,Vulnerable
EXFY,2025-01-27,3.44,2025-02-10,3.86,0.12209302325581395,0.009142900901601747,0.1129501223542122,1,0.10811555630834468,-0.032786885245901565,0.03165079679527636,Vulnerable
EXTR,2025-01-27,16.25,2025-02-10,15.53,-0.04430769230769238,0.009142900901601747,-0.05345059320929413,1,-0.08263631858812581,-0.06338461538461537,0.022626987838296576,Vulnerable
FA,2025-01-27,18.93,2025-02-10,19.35,0.022187004754358197,0.009142900901601747,0.01304410385275645,1,0.051758938150073486,-0.017080745341615078,0.012791589411237857,Vulnerable
FCEL,2025-01-27,7.82,2025-02-10,7.25,-0.07289002557544766,0.009142900901601747,-0.0820329264770494,1,-0.13455993565324975,-0.07289002557544788,0.039814833613633124,Vulnerable
