companyid,companyname,n_sentences,mean_p_positive,mean_p_negative,mean_p_neutral,mean_sentiment,std_sentiment,pct_negative,pct_neutral,pct_positive,ratio_strong_negative,ratio_strong_positive
139264388,"Pinterest, Inc.",360,0.5120734612793765,0.04687458612154134,0.4410519514232874,0.46519887515783515,0.42771205168631465,0.027777777777777776,0.44722222222222224,0.525,0.027777777777777776,0.525
139938259,"Nextdoor Holdings, Inc.",130,0.4631554230295408,0.064816534318603,0.4720280384358305,0.3983388887109378,0.4771414999734452,0.046153846153846156,0.4846153846153846,0.46923076923076923,0.046153846153846156,0.46923076923076923
140952960,"The Honest Company, Inc.",218,0.4834247297274137,0.052603880137871574,0.4639713923626263,0.4308208495895421,0.4380684182336837,0.03211009174311927,0.4908256880733945,0.47706422018348627,0.03211009174311927,0.47706422018348627
142659894,"Stitch Fix, Inc.",192,0.5359185340397138,0.06343422966407768,0.4006472403222385,0.4724843043756361,0.4902876213759847,0.052083333333333336,0.3802083333333333,0.5677083333333334,0.046875,0.5572916666666666
144816347,"Fastly, Inc.",298,0.4669094490006116,0.1493150326704619,0.38377552187920316,0.31759441633014973,0.5683804484677314,0.14429530201342283,0.3959731543624161,0.4597315436241611,0.13758389261744966,0.4463087248322148
153970398,Baozun Inc.,213,0.51671024679508,0.07326224659670127,0.4100275064989085,0.4434480001983788,0.5010572379290008,0.056338028169014086,0.4272300469483568,0.5164319248826291,0.056338028169014086,0.5164319248826291
208444566,NET Power Inc.,269,0.2866346212519423,0.04359718329242005,0.6697681987291153,0.24303743795952223,0.3434998989960467,0.022304832713754646,0.7472118959107806,0.23048327137546468,0.01858736059479554,0.23048327137546468
210235568,"Duolingo, Inc.",476,0.23950205920968487,0.05277159811729299,0.707726344419252,0.1867304610923919,0.31785169721018125,0.018907563025210083,0.7983193277310925,0.18277310924369747,0.012605042016806723,0.18277310924369747
212579473,JFrog Ltd.,291,0.32799720349545586,0.09084917766064457,0.581153613627213,0.23714802583481132,0.4450384680091589,0.06872852233676977,0.6219931271477663,0.30927835051546393,0.061855670103092786,0.30927835051546393
214992529,monday.com Ltd.,310,0.44192113412784473,0.07397764447415547,0.48410121729417194,0.3679434896536892,0.46135200485369415,0.05806451612903226,0.4967741935483871,0.44516129032258067,0.054838709677419356,0.44516129032258067
215125097,Hello Group Inc.,310,0.3724981615545168,0.26483967954352977,0.3626621604867039,0.10765848201098702,0.6795549481934435,0.267741935483871,0.3580645161290323,0.3741935483870968,0.26129032258064516,0.3741935483870968
222948413,JOYY Inc.,207,0.5544369685247649,0.1336962412547878,0.3118667924047812,0.420740727269977,0.5960362655972251,0.13526570048309178,0.2995169082125604,0.5652173913043478,0.13526570048309178,0.5652173913043478
223236753,"Zoom Communications, Inc.",413,0.33205405964807,0.04632320736600289,0.6216227337018955,0.2857308522820671,0.3812549822077712,0.024213075060532687,0.6682808716707022,0.3075060532687651,0.024213075060532687,0.29782082324455206
224101504,Elastic N.V.,421,0.38331217057295053,0.06770709974939035,0.5489807280572463,0.3156050708235602,0.43536825138667307,0.047505938242280284,0.5795724465558195,0.37292161520190026,0.047505938242280284,0.3681710213776722
224322448,Skillz Inc.,113,0.3098448175005615,0.1788528446454258,0.5113023313471173,0.13099197285513567,0.5404067748566856,0.1592920353982301,0.5398230088495575,0.3008849557522124,0.1504424778761062,0.2920353982300885
225024565,Nexxen International Ltd.,256,0.4779745285741228,0.05027015052473871,0.4717553218943067,0.4277043780493841,0.4406321422616194,0.03515625,0.48828125,0.4765625,0.03515625,0.4765625
226872615,"nCino, Inc.",372,0.35770264286447756,0.06462655606259021,0.5776707989248817,0.29307608680188735,0.40559624677459405,0.04838709677419355,0.6129032258064516,0.3387096774193548,0.0456989247311828,0.33602150537634407
228070761,"EVERTEC, Inc.",314,0.3922029328932926,0.12950951633025792,0.4782875499622837,0.26269341656303474,0.5402350155122795,0.10509554140127389,0.5127388535031847,0.3821656050955414,0.10509554140127389,0.37579617834394907
231651802,AppLovin Corporation,270,0.30489164931630647,0.03999727429235699,0.6551110734887146,0.26489437502394947,0.36278081031633047,0.018518518518518517,0.7296296296296296,0.2518518518518518,0.018518518518518517,0.24814814814814815
231691952,Science Applications International Corporation,224,0.421966948388477,0.07005546179009668,0.5079775981472007,0.3519114865983803,0.4545710840190589,0.049107142857142856,0.53125,0.41964285714285715,0.049107142857142856,0.41964285714285715
232496287,"Braze, Inc.",368,0.42678049408435903,0.08327963183957922,0.48993987314726994,0.3435008622447798,0.46449856826846964,0.07065217391304347,0.5054347826086957,0.42391304347826086,0.0625,0.41304347826086957
233445314,Endava plc,244,0.40394252687730814,0.1028217709924812,0.49323570125232463,0.3011207558848269,0.48411763473982067,0.09836065573770492,0.4918032786885246,0.4098360655737705,0.09016393442622951,0.4016393442622951
237245858,GlobalFoundries Inc.,388,0.35335607264075697,0.08141525885445479,0.5652286708306944,0.2719408137863022,0.45148874712788134,0.059278350515463915,0.5876288659793815,0.35309278350515466,0.059278350515463915,0.35051546391752575
241908542,Unity Software Inc.,232,0.31197412435671895,0.04296409667084186,0.6450617759456408,0.26901002768587706,0.3386578957434897,0.017241379310344827,0.728448275862069,0.2543103448275862,0.017241379310344827,0.2413793103448276
243657962,"NerdWallet, Inc.",271,0.4548179944667869,0.14225066608553444,0.40293133731354097,0.31256732838125245,0.5722190615602074,0.12915129151291513,0.42066420664206644,0.45018450184501846,0.12177121771217712,0.45018450184501846
243722644,"SentinelOne, Inc.",405,0.4729419022384617,0.05356920504091699,0.473488891651325,0.4193726971975447,0.43837935458221494,0.0345679012345679,0.5037037037037037,0.4617283950617284,0.03209876543209877,0.4617283950617284
244520896,Grindr Inc.,220,0.34112514231184665,0.05802016875029287,0.6008546919815919,0.2831049735615538,0.4113726218168464,0.03636363636363636,0.65,0.31363636363636366,0.03636363636363636,0.3090909090909091
246737890,"Dayforce, Inc.",347,0.39090959298604244,0.07108238899828034,0.5380080159463697,0.3198272039877621,0.44677186943451036,0.043227665706051875,0.5850144092219021,0.37175792507204614,0.040345821325648415,0.37175792507204614
246745834,Perion Network Ltd.,183,0.33549807535718534,0.13868447726266714,0.5258174482631227,0.19681359809451823,0.52032728987933,0.12568306010928962,0.5628415300546448,0.3114754098360656,0.12568306010928962,0.30601092896174864
247450223,"Porch Group, Inc.",316,0.36855654560377277,0.09995164287488766,0.5314918088732594,0.26860490272888515,0.4838542066597652,0.08860759493670886,0.5537974683544303,0.3575949367088608,0.08544303797468354,0.35443037974683544
247542783,"Amplitude, Inc.",350,0.36239963686359783,0.08614019384607673,0.5514601690960782,0.2762594430175211,0.4641404826351492,0.07142857142857142,0.5857142857142857,0.34285714285714286,0.07142857142857142,0.34
250281193,"TaskUs, Inc.",299,0.543667997093404,0.11745907090928244,0.3388729346698044,0.4262089261841216,0.5634805144421609,0.10367892976588629,0.3411371237458194,0.5551839464882943,0.10033444816053512,0.5518394648829431
252789627,"Blend Labs, Inc.",303,0.430401387695137,0.055872451311143316,0.5137261647097889,0.3745289363839937,0.4256373858107959,0.033003300330033,0.5511551155115512,0.4158415841584158,0.0297029702970297,0.40594059405940597
254225545,"Paycom Software, Inc.",200,0.34518964105285704,0.07815295951906592,0.5766573977889493,0.2670366815337911,0.4380249775646269,0.055,0.62,0.325,0.05,0.325
254355063,"CS Disco, Inc.",262,0.394540692919524,0.08440290961969103,0.5210564003347327,0.310137783299833,0.4741057394280438,0.06870229007633588,0.5419847328244275,0.3893129770992366,0.061068702290076333,0.38549618320610685
254517933,Sabre Corporation,208,0.4687742610650065,0.11291113087029842,0.41831460423642197,0.3558631301947081,0.5425312184938097,0.11538461538461539,0.4326923076923077,0.4519230769230769,0.10576923076923077,0.4519230769230769
254640431,"RideNow Group, Inc.",166,0.45174966969089697,0.14834680944030365,0.3999035183721817,0.3034028602505933,0.5864206415144296,0.13855421686746988,0.39156626506024095,0.46987951807228917,0.13855421686746988,0.463855421686747
254957567,Paylocity Holding Corporation,301,0.418330461554155,0.04455636194798836,0.5371131744433776,0.37377409960616664,0.3923772599415773,0.016611295681063124,0.5681063122923588,0.4152823920265781,0.013289036544850499,0.4152823920265781
257157780,"Weave Communications, Inc.",232,0.4812363640842799,0.040624392748778236,0.47813924774928984,0.4406119713355016,0.41031390721899236,0.021551724137931036,0.5172413793103449,0.46120689655172414,0.021551724137931036,0.45689655172413796
260426678,Weibo Corporation,216,0.49883176943856394,0.07815981024436446,0.42300842111688797,0.4206719591941995,0.5014200200257171,0.06481481481481481,0.4305555555555556,0.5046296296296297,0.06018518518518518,0.5046296296296297
265777695,GoDaddy Inc.,357,0.3754165175133476,0.055166228399129394,0.5694172549418876,0.3202502891142182,0.4061016805076226,0.028011204481792718,0.6218487394957983,0.35014005602240894,0.028011204481792718,0.35014005602240894
268296316,Nano Dimension Ltd.,195,0.17189752339648132,0.14069136869735444,0.6874111106475959,0.031206154699126878,0.38720860554780273,0.1076923076923077,0.7743589743589744,0.11794871794871795,0.1076923076923077,0.11282051282051282
269436565,"Veritone, Inc.",210,0.44790637724411986,0.11570643538476101,0.4363871832866044,0.33219994185935886,0.524498234416276,0.10476190476190476,0.43333333333333335,0.46190476190476193,0.1,0.45714285714285713
270093415,"Rigetti Computing, Inc.",236,0.32424714974664404,0.0797205372808217,0.5960323169464403,0.24452661246582233,0.41999801227339545,0.0635593220338983,0.6567796610169492,0.2796610169491525,0.059322033898305086,0.2796610169491525
270999467,"ZipRecruiter, Inc.",175,0.386928052042744,0.1739052557892033,0.43916669004197634,0.21302279625354067,0.589305862669574,0.1657142857142857,0.46285714285714286,0.37142857142857144,0.15428571428571428,0.3657142857142857
272054403,Lumentum Holdings Inc.,330,0.40293100783742514,0.07791074759072879,0.5191582474236687,0.32502026024669634,0.45595725182151003,0.05454545454545454,0.5636363636363636,0.38181818181818183,0.05454545454545454,0.38181818181818183
272762396,"Chewy, Inc.",319,0.4953132685373149,0.05402103362336381,0.4506656976889667,0.4412922349139511,0.43411517291798307,0.03134796238244514,0.45454545454545453,0.5141065830721003,0.03134796238244514,0.5141065830721003
275004592,Snowflake Inc.,341,0.35844466808495107,0.04192131368410596,0.5996340154519966,0.3165233544008451,0.3761053097622899,0.011730205278592375,0.6686217008797654,0.3196480938416422,0.011730205278592375,0.31378299120234604
